Id,CourseName,CourseDepartment,CourseNumber,CRN,Term,Year,Enrolled,Cap,Periods,FinalSchedule,Instructor,Credits,Section
16021,IA453,IA,453,2179,20,2014,21,15,T/1730-2100/O159,,masont,4,1
16022,JP212,JP,212,2321,20,2014,16,22,MTRF/5/A219,M at 8am in TBA,hirotani,4,1
16023,JP112,JP,112,2320,20,2014,23,22,MTRF/2/A219,M at 8am in TBA,hirotani,4,2
16024,JP312,JP,312,2675,20,2014,1,1,TBA/TBA/TBA,,hirotani,4,1
16025,JP112,JP,112,2319,20,2014,20,22,MTRF/1/A219,M at 8am in TBA,hirotani,4,1
16026,MA111,MA,111,2329,20,2014,10,22,MTWRF/3/G310,W at 1pm in TBA,graves,5,1
16027,MA112,MA,112,2336,20,2014,29,27,MTWRF/3/G221,W at 1pm in TBA,selby,5,6
16028,MA111,MA,111,2330,20,2014,12,22,MTWRF/4/G310,W at 1pm in TBA,graves,5,2
16029,MA112,MA,112,2334,20,2014,28,27,MTWRF/5/G221,W at 1pm in TBA,holder,5,4
16030,MA112,MA,112,2332,20,2014,29,27,MTWRF/8/G221,W at 1pm in TBA,goulet,5,2
16031,MA112,MA,112,2333,20,2014,19,27,MTWRF/9/G221,W at 1pm in TBA,goulet,5,3
16032,MA112,MA,112,2331,20,2014,29,27,MTWRF/6/G310,W at 1pm in TBA,bryan,5,1
16033,MA112,MA,112,2335,20,2014,33,27,MTWRF/6/G221,W at 1pm in TBA,holder,5,5
16034,MA112,MA,112,2339,20,2014,27,27,MTWRF/2/G310,W at 1pm in TBA,all1,5,9
16035,MA113,MA,113,2343,20,2014,20,30,MTWRF/1/G221,W at 6pm in TBA,rickert,5,4
16036,MA112,MA,112,2337,20,2014,28,27,MTWRF/4/G221,W at 1pm in TBA,selby,5,7
16037,MA113,MA,113,2341,20,2014,32,30,MTWRF/7/G222,W at 6pm in TBA,tarrant,5,2
16038,MA113,MA,113,2340,20,2014,29,30,MTWRF/5/G310,W at 6pm in TBA,green,5,1
16039,MA113,MA,113,2344,20,2014,27,30,MTWRF/2/G221,W at 6pm in TBA,rickert,5,5
16040,MA113,MA,113,2342,20,2014,31,30,MTWRF/8/G222,W at 6pm in TBA,tarrant,5,3
16041,MA112,MA,112,2338,20,2014,22,27,MTWRF/1/G310,W at 1pm in TBA,all1,5,8
16042,MA200,MA,200,2345,20,2014,16,25,W/5/G222,,brought,1,1
16043,MA211,MA,211,2347,20,2014,17,25,MTRF/7/G310,W at 1pm in TBA,selby,4,2
16044,MA211,MA,211,2346,20,2014,29,25,MTRF/3/G315,W at 1pm in TBA,eichholz,4,1
16045,MA211,MA,211,2351,20,2014,13,30,MTRF/5/G219,W at 1pm in TBA,tarrant,4,6
16046,MA211,MA,211,2350,20,2014,30,30,MTRF/4/G315,W at 1pm in TBA,eichholz,4,5
16047,MA212,MA,212,2353,20,2014,29,28,MTRF/6/G315,W at 6pm in TBA,isaia,4,2
16048,MA211,MA,211,2348,20,2014,17,25,MTRF/5/G315,W at 1pm in TBA,all1,4,3
16049,MA212,MA,212,2352,20,2014,30,28,MTRF/1/G313,W at 6pm in TBA,butske,4,1
16050,MA211,MA,211,2349,20,2014,18,30,MTRF/6/G219,W at 1pm in TBA,grimaldi,4,4
16051,MA212,MA,212,2354,20,2014,30,28,MTRF/7/G315,W at 6pm in TBA,isaia,4,3
16052,MA212,MA,212,2355,20,2014,32,28,MTRF/3/G219,W at 6pm in TBA,butske,4,4
16053,MA212,MA,212,2356,20,2014,29,28,MTRF/4/G219,W at 6pm in TBA,carlisle,4,5
16054,MA212,MA,212,2357,20,2014,28,28,MTRF/7/O231,W at 6pm in TBA,finn,4,6
16055,MA212,MA,212,2358,20,2014,0,0,TBA,,tba,4,7
16056,MA212,MA,212,2361,20,2014,32,28,MTRF/2/G315,W at 6pm in TBA,shibberu,4,10
16057,MA212,MA,212,2362,20,2014,19,28,MTRF/7/G219,W at 6pm in TBA,green,4,11
16058,MA212,MA,212,2363,20,2014,24,28,MTRF/8/G219,W at 6pm in TBA,green,4,12
